"Name","Instance Count","Size (bytes)"
"byte[ ]",93239,7430424
"java.lang.String",86608,2078592
"java.util.concurrent.ConcurrentHashMap$Node",34369,1099808
"java.lang.Object",17935,286960
"java.lang.Object[ ]",15473,836000
"java.util.LinkedHashMap$Entry",12216,488640
"java.util.HashMap$Node",11455,366560
"java.lang.reflect.Method",10839,953832
"java.lang.Class",10436,1242320
"java.lang.Class[ ]",9928,255696
"java.net.URL",8254,528256
"java.lang.StackTraceElement",7805,374640
"jdk.internal.vm.FillerArray",7720,4709792
"java.lang.Integer",6271,100336
"java.util.HashMap$Node[ ]",6046,475768
"java.util.LinkedHashMap",5602,358528
"java.util.ArrayList",3765,90360
"int[ ]",3419,932328
"java.lang.invoke.MemberName",3382,162336
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry",3173,101536
"java.util.HashMap",3038,145824
"java.lang.String[ ]",2790,103272
"java.lang.invoke.LambdaForm$Name",2742,87744
"java.lang.ref.SoftReference",2653,106120
"java.util.concurrent.locks.ReentrantLock$NonfairSync",2543,81376
"java.lang.invoke.MethodType",2506,100240
"java.lang.invoke.ResolvedMethodName",2291,54984
"sun.util.locale.LocaleObjectCache$CacheEntry",2091,83640
"java.util.concurrent.locks.ReentrantLock",1707,27312
"org.springframework.core.ResolvableType",1653,92568
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject",1565,37560
"java.util.ArrayList$Itr",1539,49248
"java.lang.ref.ReferenceQueue",1526,48832
"java.util.HashSet",1494,23904
"java.lang.reflect.Field",1481,106632
"java.util.jar.Attributes$Name",1308,31392
"java.lang.reflect.Method[ ]",1280,73688
"java.util.LinkedHashSet",1244,19904
"char[ ]",1228,274280
"java.util.concurrent.ConcurrentHashMap",1205,77120
"sun.reflect.annotation.AnnotationInvocationHandler",1197,28728
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",1191,57168
"java.util.Locale",1063,34016
"sun.util.locale.BaseLocale",1063,34016
"java.lang.Class$ReflectionData",1062,67968
"java.util.concurrent.ConcurrentLinkedDeque$Node",1054,25296
"sun.util.locale.BaseLocale$Key",1044,33408
"java.nio.HeapByteBuffer",931,52136
"java.lang.invoke.BoundMethodHandle$Species_LL",924,36960
"java.lang.StringBuilder",898,21552
"java.lang.invoke.DirectMethodHandle",892,35680
"java.util.concurrent.atomic.AtomicInteger",884,14144
"sun.reflect.generics.tree.TypeArgument[ ]",870,15960
"sun.reflect.generics.tree.SimpleClassTypeSignature",866,20784
"java.util.LinkedHashMap$LinkedKeySet",850,20400
"sun.reflect.generics.tree.ClassTypeSignature",849,13584
"java.util.LinkedHashMap$LinkedValues",846,20304
"java.util.concurrent.CopyOnWriteArrayList",839,20136
"java.lang.reflect.Type[ ]",824,19896
"java.lang.module.ModuleDescriptor$Exports",750,18000
"java.security.Provider$ServiceKey",706,16944
"java.lang.invoke.LambdaForm$NamedFunction",681,16344
"java.lang.Long",679,16296
"org.springframework.util.ConcurrentReferenceHashMap$Reference[ ]",679,26512
"org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager",672,16128
"org.springframework.util.ConcurrentReferenceHashMap$Segment",672,26880
"java.lang.ref.SoftReference[ ]",660,50160
"java.util.WeakHashMap$Entry[ ]",660,53856
"java.lang.reflect.Constructor",645,46440
"java.lang.invoke.DirectMethodHandle$Constructor",630,30240
"java.lang.invoke.LambdaForm$Name[ ]",629,32312
"java.util.ArrayDeque",629,15096
"java.lang.Class$AnnotationData",628,15072
"java.util.WeakHashMap",625,30000
"java.lang.invoke.LambdaForm",623,29904
"java.util.Collections$SetFromMap",610,14640
"java.lang.StackTraceElement[ ]",602,41872
"java.util.WeakHashMap$KeySet",590,9440
"java.lang.ref.WeakReference",549,17568
"org.springframework.core.ResolvableType$DefaultVariableResolver",549,8784
"java.lang.ThreadLocal$ThreadLocalMap$Entry",524,16768
"org.springframework.core.convert.converter.GenericConverter$ConvertiblePair",514,12336
"java.util.concurrent.ConcurrentHashMap$Node[ ]",512,329728
"org.springframework.core.ResolvableType[ ]",508,12264
"jdk.internal.org.objectweb.asm.SymbolTable$Entry",498,27888
"java.util.TreeMap$Entry",495,19800
"java.util.jar.Attributes",495,7920
"org.springframework.core.annotation.TypeMappedAnnotation",491,27496
"java.lang.Double",490,11760
"org.apache.tomcat.util.http.ValuesEnumerator",490,15680
"java.util.ImmutableCollections$Set12",474,11376
"java.util.concurrent.ConcurrentLinkedDeque",470,11280
"org.springframework.core.convert.support.GenericConversionService$ConvertersForPair",470,7520
"java.lang.Package",468,14976
"java.nio.HeapCharBuffer",434,24304
"java.lang.CharSequence[ ]",429,11968
"java.util.concurrent.CopyOnWriteArraySet",423,6768
"java.lang.reflect.Constructor[ ]",417,9712
"org.springframework.beans.factory.support.MethodOverrides",415,6640
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference",414,19872
"java.lang.invoke.MethodTypeForm",410,13120
"java.math.BigInteger",410,16400
"org.springframework.util.ConcurrentReferenceHashMap$Entry",407,9768
"java.lang.invoke.BoundMethodHandle$Species_L",394,15760
"java.util.TreeMap$KeyIterator",391,12512
"ch.qos.logback.classic.Logger",379,18192
"org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog",376,9024
"org.springframework.beans.factory.annotation.InjectionMetadata",374,8976
"java.lang.Package$VersionInfo",370,14800
"java.lang.management.MemoryUsage",360,17280
"jdk.internal.reflect.DirectConstructorHandleAccessor",357,8568
"java.time.LocalDateTime",350,8400
"java.lang.reflect.Field[ ]",347,11976
"java.lang.module.ModuleDescriptor$Requires",344,11008
"org.springframework.http.MediaType",343,10976
"com.google.gson.internal.LinkedTreeMap$Node",305,14640
"long[ ]",303,63416
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome",298,7152
"org.springframework.boot.autoconfigure.condition.ConditionMessage",298,4768
"org.springframework.boot.autoconfigure.condition.ConditionOutcome",298,7152
"java.lang.invoke.LambdaFormEditor$Transform",296,14208
"java.util.ImmutableCollections$SetN",296,7104
"java.util.zip.ZipFile$CleanableResource",296,9472
"org.springframework.boot.loader.jar.NestedJarFileResources",292,9344
"org.springframework.boot.loader.net.protocol.jar.UrlJarFiles$$Lambda.0x0000000800115220",292,4672
"org.springframework.boot.loader.net.protocol.jar.UrlJarManifest",292,7008
"org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile",292,28032
"org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile$$Lambda.0x00000008001863e0",292,4672
"java.util.ImmutableCollections$ListItr",291,9312
"org.springframework.boot.context.properties.source.ConfigurationPropertyName",289,9248
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements",289,11560
"java.lang.Byte",285,4560
"org.springframework.web.util.pattern.PathPattern$MatchingContext",282,13536
"sun.reflect.generics.factory.CoreReflectionFactory",272,6528
"java.security.Provider$Service",267,17088
"org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider",266,8512
"sun.security.util.KnownOIDs",264,10560
"javax.management.ImmutableDescriptor",262,6288
"jdk.proxy2.$Proxy38",258,4128
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes",258,4128
"java.lang.Short",256,4096
"java.util.Hashtable$Entry",252,8064
"org.springframework.boot.loader.zip.FileDataBlock",251,8032
"org.springframework.http.MediaType$$Lambda.0x0000000800667398",250,4000
"org.springframework.boot.loader.net.protocol.nested.NestedUrlConnectionResources",249,7968
"org.springframework.core.annotation.AnnotationTypeMappings[ ]",248,6536
"java.security.Provider$UString",247,5928
"java.util.Collections$UnmodifiableMap",246,7872
"java.util.HashMap$EntrySet",246,3936
"org.springframework.core.annotation.MergedAnnotation[ ]",246,6488
"org.springframework.core.annotation.MergedAnnotationsCollection",246,5904
"java.io.SerialCallbackContext",245,5880
"java.util.WeakHashMap$Entry",239,9560
"org.springframework.core.MethodParameter",238,15232
"java.lang.ThreadLocal$ThreadLocalMap$Entry[ ]",237,19216
"java.util.logging.LogManager$LoggerWeakRef",236,11328
"java.lang.ThreadLocal$ThreadLocalMap",235,5640
"sun.reflect.generics.tree.FormalTypeParameter[ ]",228,4120
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl",224,5376
"jdk.internal.loader.AbstractClassLoaderValue$Sub",217,5208
"java.lang.PublicMethods$MethodList",214,5136
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode",214,6848
"org.springframework.core.type.classreading.SimpleMethodMetadata",214,8560
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source",214,6848
"sun.nio.fs.UnixPath",212,6784
"sun.security.pkcs11.SunPKCS11$Descriptor",208,8320
"java.util.concurrent.atomic.AtomicReference",207,3312
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition",204,39168
"sun.reflect.generics.scope.ClassScope",204,4896
"java.util.LinkedList$Node",202,4848
"jdk.internal.reflect.DirectMethodHandleAccessor",202,6464
"java.util.concurrent.atomic.AtomicReferenceArray",200,3200
"org.springframework.beans.MutablePropertyValues",200,4800
"java.util.ImmutableCollections$List12",199,4776
"java.util.logging.LogManager$LogNode",198,6336
"java.util.zip.Inflater",197,12608
"java.util.zip.Inflater$InflaterZStreamRef",197,4728
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType[ ]",196,7800
"java.util.LinkedHashMap$LinkedKeyIterator",195,6240
"java.util.StringJoiner",193,7720
"org.springframework.beans.BeanMetadataAttribute",192,4608
"org.springframework.core.convert.support.GenericConversionService$ConverterAdapter",192,6144
"jdk.internal.module.ServicesCatalog$ServiceProvider",189,4536
"sun.reflect.generics.tree.FieldTypeSignature[ ]",188,3952
"java.lang.reflect.TypeVariable[ ]",185,3592
"java.time.LocalDate",185,4440
"java.lang.PublicMethods$Key",182,4368
"java.security.CodeSource",181,7240
"org.springframework.boot.loader.zip.ZipCentralDirectoryFileHeaderRecord",178,9968
"com.fasterxml.jackson.databind.type.ClassKey",177,4248
"java.lang.invoke.LambdaFormEditor",172,2752
"com.sun.jmx.mbeanserver.MXBeanMapping[ ]",170,3392
"java.lang.invoke.LambdaFormEditor$TransformKey",170,4080
"java.io.ByteArrayOutputStream",168,4032
"com.jprofiler.agent.util.a.a.b.h$m",164,10496
"org.springframework.util.LinkedCaseInsensitiveMap",160,6400
"org.springframework.util.LinkedCaseInsensitiveMap$1",160,10240
"com.sun.jmx.mbeanserver.ConvertingMethod",159,5088
"javax.management.ObjectName$Property[ ]",159,4512
"sun.reflect.generics.repository.ClassRepository",159,5088
"sun.reflect.generics.tree.ClassSignature",159,3816
"sun.reflect.generics.tree.ClassTypeSignature[ ]",159,3640
"java.io.ObjectStreamField",156,6240
"com.google.gson.JsonPrimitive",155,2480
"java.util.jar.Manifest",155,3720
"com.jprofiler.agent.probe.structures.n",153,7344
"javax.management.ObjectName$Property",153,3672
"boolean[ ]",152,13568
"java.io.StringReader",150,6000
"java.util.HashMap$KeySet",149,2384
"java.util.Arrays$ArrayList",148,3552
