"Name","Instance Count","Size (bytes)"
"char[ ]",154137,21141144
"byte[ ]",134770,19356984
"java.lang.String",108217,2597208
"padl.kernel.impl.MethodInvocation$NonConcurrentIterator",44740,1073760
"padl.kernel.IField[ ]",44724,897728
"padl.kernel.impl.MethodInvocation",44715,4650360
"java.util.HashMap$Node",42822,1370304
"java.lang.reflect.Method",23891,2102408
"java.lang.Object[ ]",19667,962376
"java.lang.StringBuffer",18221,583072
"java.util.HashMap$Node[ ]",10771,615704
"java.util.ArrayList",10539,252936
"java.util.HashMap",10115,485520
"padl.kernel.impl.AbstractGenericContainerOfConstituents$NonConcurrentIterator",9026,216624
"java.util.HashSet",8757,140112
"java.util.concurrent.ConcurrentHashMap$Node",8636,276352
"padl.kernel.IConstituent[ ]",8230,429912
"padl.kernel.impl.AbstractGenericContainerOfConstituents$GenericObservable",7864,125824
"com.ibm.toad.cfparse.ConstantPool$Utf8Entry",7668,184032
"java.util.HashMap$KeySet",6783,108528
"padl.kernel.impl.GenericContainerOfInsertionOrderedConstituents",6573,315504
"int[ ]",6330,1852528
"java.lang.String[ ]",6198,141192
"padl.kernel.impl.Parameter",5484,438720
"padl.kernel.impl.Method",5325,383400
"java.lang.Class",4638,600616
"java.lang.StackTraceElement",4504,216192
"java.util.Vector",4361,139552
"java.util.ArrayList$Itr",3903,124896
"java.lang.Integer",3736,59776
"jdk.internal.vm.FillerElement[ ]",3609,8912960
"com.ibm.toad.cfparse.attributes.AttrInfoList",3422,109504
"com.ibm.toad.cfparse.attributes.AttrInfo[ ]",3299,92656
"java.lang.Object",3184,50944
"java.lang.Class[ ]",2797,69752
"java.lang.ref.WeakReference",2777,88864
"padl.kernel.impl.Field",2395,172440
"padl.kernel.impl.PrimitiveEntity",2284,127904
"jdk.internal.util.SoftReferenceKey",2275,91000
"java.util.HashMap$KeyIterator",2036,65152
"char[ ][ ]",1824,32264
"padl.creator.classfile.util.ExtendedMethodInfo",1721,68840
"java.lang.reflect.Method[ ]",1635,124728
"com.ibm.toad.cfparse.ConstantPool$NameAndTypeEntry",1616,38784
"java.lang.StringBuilder",1500,36000
"com.ibm.toad.cfparse.ConstantPool$MethodrefEntry",1398,33552
"java.lang.invoke.MemberName",1352,64896
"com.ibm.toad.cfparse.MethodInfo",1349,43168
"com.ibm.toad.cfparse.attributes.CodeAttrInfo",1318,73808
"java.util.TreeMap$Entry",1295,51800
"padl.kernel.impl.GenericContainerOfNaturallyOrderedConstituents",1291,72296
"padl.kernel.impl.Constructor",1248,79872
"com.ibm.toad.cfparse.attributes.LineNumberAttrInfo",1223,48920
"com.ibm.toad.cfparse.ConstantPool$ClassEntry",1194,28656
"java.lang.PublicMethods$MethodList",1178,28272
"java.util.Locale",1152,36864
"sun.util.locale.BaseLocale",1152,36864
"com.ibm.toad.cfparse.attributes.CodeAttrInfo$ExceptionInfo[ ]",1033,16992
"padl.event.AnalysisEvent",1024,24576
"java.lang.invoke.MethodType",954,38160
"java.lang.invoke.ResolvedMethodName",911,21864
"java.util.LinkedHashMap$Entry",809,32360
"short[ ]",798,48392
"org.apache.bcel.classfile.ConstantUtf8",776,18624
"jdk.internal.util.WeakReferenceKey",770,24640
"java.lang.invoke.LambdaForm$Name",766,24512
"org.apache.commons.lang3.builder.HashCodeBuilder",661,15864
"com.ibm.toad.cfparse.ConstantPoolEntry[ ]",648,73848
"long[ ]",581,163216
"java.lang.ref.SoftReference",563,22520
"padl.kernel.impl.Class",522,41760
"java.lang.invoke.BoundMethodHandle$Species_LL",510,20400
"padl.kernel.impl.Ghost",462,40656
"java.lang.ref.ReferenceQueue$Lock",440,7040
"com.ibm.toad.cfparse.FieldInfo",438,14016
"java.lang.ref.ReferenceQueue",438,14016
"com.ibm.toad.cfparse.attributes.LocalVariableAttrInfo",393,15720
"java.lang.module.ModuleDescriptor$Exports",369,8856
"java.lang.reflect.Field",366,26352
"java.lang.invoke.DirectMethodHandle",362,14480
"java.util.StringTokenizer",362,17376
"java.lang.Class$ReflectionData",360,23040
"java.lang.Character$UnicodeBlock",339,5424
"com.ibm.toad.cfparse.ConstantPool$FieldrefEntry",338,8112
"java.io.DataInputStream",324,10368
"com.ibm.toad.cfparse.ClassFile",317,17752
"com.ibm.toad.cfparse.ConstantPool",317,10144
"com.ibm.toad.cfparse.FieldInfoList",317,7608
"com.ibm.toad.cfparse.InterfaceList",317,7608
"com.ibm.toad.cfparse.MethodInfoList",317,7608
"com.ibm.toad.cfparse.attributes.SourceFileAttrInfo",317,10144
"java.util.concurrent.ConcurrentLinkedQueue$Node",316,7584
"java.lang.ref.SoftReference[ ]",292,22192
"com.ibm.toad.cfparse.ConstantPool$StringEntry",289,6936
"com.ibm.toad.cfparse.MethodInfo[ ]",289,13800
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef",287,13776
"com.ibm.toad.cfparse.instruction.ImmutableCodeSegment",285,9120
"padl.creator.classfile.util.ExtendedFieldInfo",283,9056
"sun.security.util.KnownOIDs",280,11200
"javax.management.ImmutableDescriptor",277,6648
"java.lang.StackTraceElement[ ]",276,40448
"java.nio.HeapCharBuffer",275,15400
"org.apache.bcel.classfile.Attribute[ ]",272,6408
"java.util.concurrent.ConcurrentHashMap",257,16448
"java.lang.Long",256,6144
"java.util.ImmutableCollections$Set12",256,6144
"java.lang.reflect.Constructor",254,18288
"java.util.WeakHashMap$Entry[ ]",248,20480
"jdk.internal.util.StrongReferenceKey",244,3904
"java.lang.invoke.LambdaForm$NamedFunction",238,5712
"java.lang.invoke.LambdaForm$Name[ ]",237,10816
"java.util.WeakHashMap",237,11376
"java.lang.invoke.LambdaForm",232,11136
"java.io.File",230,7360
"org.apache.logging.log4j.core.config.plugins.processor.PluginEntry",225,7200
"org.apache.logging.log4j.core.config.plugins.util.PluginType",225,5400
"java.lang.invoke.DirectMethodHandle$Constructor",222,10656
"java.io.FileDescriptor",214,8560
"java.util.ArrayDeque",214,5136
"java.util.Collections$SetFromMap",214,5136
"java.lang.classfile.Opcode",213,8520
"java.util.WeakHashMap$KeySet",213,3408
