"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"java.text.NumberFormat.getInstance()",119541,119541,1
"java.lang.Class.forName(java.lang.String, boolean, java.lang.ClassLoader)",50475,50475,1
"java.lang.Class.forName(java.lang.String)",23984,23984,1
"java.io.ObjectStreamClass.lookup(java.lang.Class)",17842,17842,1
"java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[ ])",15741,15741,1
"java.util.regex.Pattern.compile(java.lang.String)",14026,14026,1
"org.junit.runner.JUnitCore.runMain(org.junit.internal.JUnitSystem, java.lang.String[ ])",11484,11484,1
"org.junit.runner.JUnitCore.<init>()",11031,11031,1
"java.lang.Class.getMethod(java.lang.String, java.lang.Class[ ])",9023,4511,2
"org.junit.runner.JUnitCore.defaultComputer()",8199,8199,1
"java.lang.Class.isAnnotationPresent(java.lang.Class)",6633,2211,3
"org.junit.runner.JUnitCommandLineParseResult.errorReport(java.lang.Throwable)",6349,6349,1
"java.lang.String.format(java.lang.String, java.lang.Object[ ])",4772,2386,2
"org.junit.internal.Throwables.getTrimmedStackTraceLines(java.lang.Throwable)",3243,3243,1
"org.junit.internal.runners.ErrorReportingRunner.runCause(java.lang.Throwable, org.junit.runner.notification.RunNotifier)",3243,3243,1
"ca.concordia.ptidej.spectra.ChildJVM.SpectraMain.main(java.lang.String[ ])",2804,2804,1
"org.junit.runner.notification.Failure.getTrimmedTrace()",2688,2688,1
"org.junit.runner.JUnitCore.main(java.lang.String[ ])",2414,2414,1
"org.junit.runner.JUnitCommandLineParseResult.parseParameters(java.lang.String[ ])",2318,2318,1
"org.junit.runner.notification.RunNotifier.fireTestRunStarted(org.junit.runner.Description)",2305,2305,1
"org.junit.internal.runners.ErrorReportingRunner.getDescription()",2102,2102,1
"org.junit.runner.JUnitCore.run(org.junit.runner.Runner)",1709,1709,1
"java.io.PrintStream.println(java.lang.String)",1695,154,11
"java.lang.Runtime.addShutdownHook(java.lang.Thread)",1617,1617,1
"java.text.NumberFormat.format(double)",1491,1491,1
"org.junit.runner.notification.RunNotifier.fireTestFinished(org.junit.runner.Description)",1412,1412,1
"org.junit.runner.notification.RunNotifier.fireTestFailures(java.util.List, java.util.List)",1245,207,6
"java.lang.Throwable.getStackTrace()",1189,1189,1
"org.junit.internal.runners.ErrorReportingRunner.getCauses(java.lang.Throwable)",1133,1133,1
"org.junit.runner.notification.RunNotifier.fireTestStarted(org.junit.runner.Description)",1059,1059,1
"org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener)",1022,340,3
"org.junit.runner.Result.<clinit>()",999,999,1
"org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[ ])",969,969,1
"java.lang.Throwable.printStackTrace(java.io.PrintWriter)",940,940,1
"java.io.StringWriter.<init>()",847,847,1
"org.junit.internal.Throwables.asReversedList(java.util.List)",814,814,1
"org.junit.runner.notification.RunNotifier.fireTestRunFinished(org.junit.runner.Result)",703,703,1
"java.util.List.iterator()",637,57,11
"org.junit.runner.Request.errorReport(java.lang.Class, java.lang.Throwable)",539,539,1
"java.lang.Thread.<init>()",467,467,1
"org.junit.internal.Throwables$State.<clinit>()",449,449,1
"java.util.Collection.add(java.lang.Object)",428,428,1
"org.junit.internal.Throwables.getFullStackTrace(java.lang.Throwable)",334,334,1
"java.io.PrintStream.append(char)",323,161,2
"org.junit.runner.JUnitCommandLineParseResult.createRequest(org.junit.runner.Computer)",316,316,1
"java.io.PrintStream.println()",254,84,3
"org.junit.runner.Result.createListener()",222,222,1
"org.junit.runner.notification.RunNotifier$SafeNotifier.run()",191,38,5
"org.junit.internal.Throwables.<clinit>()",189,189,1
"org.junit.runner.notification.Failure.<init>(org.junit.runner.Description, java.lang.Throwable)",169,169,1
"java.io.PrintStream.print(java.lang.String)",161,161,1
